week,price,nights,month,unit,trt
35,316.7270119521912,12550,8,nashville,0
36,305.12507197973054,8683,9,nashville,0
37,322.1592426598372,10933,9,nashville,0
38,352.4633037612728,13639,9,nashville,0
39,292.9580167173252,15792,9,nashville,0
40,315.54703668861714,14882,9,nashville,0
41,314.51744225892674,14591,10,nashville,0
42,323.6752767527675,14905,10,nashville,0
43,291.12814342437736,16622,10,nashville,0
44,268.88066986451236,11883,10,nashville,0
45,305.19739351557536,12584,11,nashville,0
46,281.22186008613664,8591,11,nashville,0
47,252.57013863553448,10964,11,nashville,0
48,257.2079115110611,10668,11,nashville,0
49,238.6533012184755,7058,12,nashville,0
50,236.0210865426856,6829,12,nashville,0
51,205.76842232423292,8278,12,nashville,0
52,250.00312066574202,11536,12,nashville,0
8,254.463986599665,1194,2,ri,0
9,200.95856873822976,531,2,ri,0
10,232.8,365,3,ri,0
11,248.77777777777777,423,3,ri,0
12,225.0194805194805,308,3,ri,0
13,227.80113636363637,704,3,ri,0
14,232.10256410256412,1521,4,ri,0
15,207.55347593582889,1122,4,ri,0
16,172.62580054894784,1093,4,ri,0
17,200.7626931567329,906,4,ri,0
18,257.9252136752137,2340,4,ri,0
19,237.7857596948506,1573,5,ri,0
20,236.27503168567807,1578,5,ri,0
21,278.6299052774019,1478,5,ri,0
22,282.8120595144871,2554,5,ri,0
23,252.66021052631578,2375,6,ri,0
24,265.9017038007864,2289,6,ri,0
25,266.4069678407351,2612,6,ri,0
26,266.9224416517056,2785,6,ri,0
27,318.1700359389039,4452,7,ri,0
28,305.52219626168227,3424,7,ri,0
29,304.23617208077263,3417,7,ri,0
30,286.1379542395693,2972,7,ri,0
31,310.63577863577865,4662,7,ri,0
32,311.9701319749942,4319,8,ri,0
33,324.627765064836,3933,8,ri,0
34,318.590178058587,3482,8,ri,0
35,322.6690022421525,3568,8,ri,0
36,283.6727682343002,3551,9,ri,0
37,273.4489003880983,3092,9,ri,0
38,271.3587907716786,2514,9,ri,0
39,270.58057395143487,2265,9,ri,0
40,286.31283085455004,3967,9,ri,0
41,262.21847649918965,3085,10,ri,0
42,235.6992259491338,2713,10,ri,0
43,245.95201238390092,1938,10,ri,0
44,246.34578726648874,2623,10,ri,0
45,215.2800959232614,2085,11,ri,0
46,201.66457680250784,1276,11,ri,0
47,187.15364120781527,1126,11,ri,0
48,262.731931166348,2615,11,ri,0
49,250.28059701492538,1675,12,ri,0
50,217.68056787932565,1127,12,ri,0
51,211.36569037656903,1195,12,ri,0
52,216.7203713817586,1831,12,ri,0
8,186.85233918128654,1368,2,sf,0
9,214.58907788719785,1117,2,sf,0
10,214.51971326164875,3069,3,sf,0
11,210.95166822575615,3207,3,sf,0
12,210.0035480349345,3664,3,sf,0
13,201.98050282196,1949,3,sf,0
14,210.5875152998776,3268,4,sf,0
15,217.53183431952664,4225,4,sf,0
16,210.82295850066933,2988,4,sf,0
17,208.6985111662531,2418,4,sf,0
18,212.9653434152489,3174,4,sf,0
19,212.09174948000924,4327,5,sf,0
20,212.86090775988288,4098,5,sf,0
21,208.60103181427343,3489,5,sf,0
22,214.3977798334875,3243,5,sf,0
23,226.07222334614607,4943,6,sf,0
24,221.38360175695462,4098,6,sf,0
25,218.00270735909427,4063,6,sf,0
26,214.46133490149955,3401,6,sf,0
27,207.38854296388544,2409,7,sf,0
28,239.46943275205453,4989,7,sf,0
29,226.01343183344525,4467,7,sf,0
30,227.87790973871734,4210,7,sf,0
31,222.17851916886158,3417,7,sf,0
32,257.18120930232556,5375,8,sf,0
33,224.04236453201972,5075,8,sf,0
34,214.63952225841476,4605,8,sf,0
35,218.08552790529114,4139,8,sf,0
36,211.4941798941799,3780,9,sf,0
37,239.46015007097952,4931,9,sf,0
38,248.96953010279,5448,9,sf,0
39,234.09122006841505,5262,9,sf,0
